ID,X,Y,Width,Height
1,444,1172,26,26
2,470,1172,26,26
3,496,1172,26,26
4,444,1146,26,26
5,470,1146,26,26
6,444,1120,26,26
7,470,1120,26,26
8,444,1094,26,26
9,470,1094,26,26
10,496,1094,26,26
11,418,1068,26,26
12,444,1068,26,26
13,470,1068,26,26
14,496,1068,26,26
15,392,1042,26,26
16,418,1042,26,26
17,444,1042,26,26
18,470,1042,26,26
19,496,1042,26,26
20,366,1016,26,26
21,392,1016,26,26
22,418,1016,26,26
23,366,990,26,26
24,392,990,26,26
25,314,964,26,26
26,340,964,26,26
27,366,964,26,26
28,288,938,26,26
29,314,938,26,26
30,340,938,26,26
31,288,912,26,26
32,314,912,26,26
33,314,886,26,26
34,340,886,26,26
35,314,860,26,26
36,340,860,26,26
37,366,860,26,26
38,314,834,26,26
39,340,834,26,26
40,366,834,26,26
41,314,808,26,26
42,340,808,26,26
43,366,808,26,26
44,392,808,26,26
45,314,782,26,26
46,340,782,26,26
47,366,782,26,26
48,288,756,26,26
49,314,756,26,26
50,340,756,26,26
51,366,756,26,26
52,288,730,26,26
53,314,730,26,26
54,340,730,26,26
55,366,730,26,26
56,288,704,26,26
57,470,704,26,26
58,496,704,26,26
59,522,704,26,26
60,548,704,26,26
61,288,678,26,26
62,418,678,26,26
63,444,678,26,26
64,470,678,26,26
65,496,678,26,26
66,262,652,26,26
67,288,652,26,26
68,392,652,26,26
69,418,652,26,26
70,444,652,26,26
71,470,652,26,26
72,496,652,26,26
73,262,626,26,26
74,288,626,26,26
75,392,626,26,26
76,418,626,26,26
77,106,600,26,26
78,132,600,26,26
79,236,600,26,26
80,262,600,26,26
81,366,600,26,26
82,392,600,26,26
83,418,600,26,26
84,132,574,26,26
85,158,574,26,26
86,184,574,26,26
87,210,574,26,26
88,236,574,26,26
89,262,574,26,26
90,340,574,26,26
91,366,574,26,26
92,392,574,26,26
93,132,548,26,26
94,158,548,26,26
95,184,548,26,26
96,236,548,26,26
97,288,548,26,26
98,314,548,26,26
99,340,548,26,26
100,366,548,26,26
101,106,522,26,26
102,132,522,26,26
103,158,522,26,26
104,184,522,26,26
105,210,522,26,26
106,236,522,26,26
107,262,522,26,26
108,288,522,26,26
109,314,522,26,26
110,340,522,26,26
111,132,496,26,26
112,210,496,26,26
113,236,496,26,26
114,262,496,26,26
115,288,496,26,26
116,314,496,26,26
117,340,496,26,26
118,132,470,26,26
119,158,470,26,26
120,184,470,26,26
121,210,470,26,26
122,236,470,26,26
123,262,470,26,26
124,288,470,26,26
125,314,470,26,26
126,340,470,26,26
127,444,470,26,26
128,470,470,26,26
129,132,444,26,26
130,158,444,26,26
131,184,444,26,26
132,236,444,26,26
133,262,444,26,26
134,314,444,26,26
135,340,444,26,26
136,418,444,26,26
137,444,444,26,26
138,106,418,26,26
139,132,418,26,26
140,158,418,26,26
141,184,418,26,26
142,210,418,26,26
143,236,418,26,26
144,314,418,26,26
145,340,418,26,26
146,418,418,26,26
147,444,418,26,26
148,106,392,26,26
149,132,392,26,26
150,158,392,26,26
151,184,392,26,26
152,210,392,26,26
153,236,392,26,26
154,262,392,26,26
155,288,392,26,26
156,314,392,26,26
157,340,392,26,26
158,392,392,26,26
159,418,392,26,26
160,80,366,26,26
161,106,366,26,26
162,132,366,26,26
163,158,366,26,26
164,210,366,26,26
165,236,366,26,26
166,262,366,26,26
167,288,366,26,26
168,314,366,26,26
169,340,366,26,26
170,366,366,26,26
171,392,366,26,26
172,80,340,26,26
173,106,340,26,26
174,236,340,26,26
175,262,340,26,26
176,288,340,26,26
177,314,340,26,26
178,340,340,26,26
179,366,340,26,26
180,392,340,26,26
181,80,314,26,26
182,106,314,26,26
183,158,314,26,26
184,236,314,26,26
185,262,314,26,26
186,288,314,26,26
187,340,314,26,26
188,366,314,26,26
189,392,314,26,26
190,54,288,26,26
191,80,288,26,26
192,106,288,26,26
193,158,288,26,26
194,184,288,26,26
195,210,288,26,26
196,236,288,26,26
197,262,288,26,26
198,288,288,26,26
199,54,262,26,26
200,80,262,26,26
201,106,262,26,26
202,184,262,26,26
203,210,262,26,26
204,236,262,26,26
205,262,262,26,26
206,288,262,26,26
207,54,236,26,26
208,80,236,26,26
209,106,236,26,26
210,132,236,26,26
211,210,236,26,26
212,236,236,26,26
213,262,236,26,26
214,288,236,26,26
215,28,210,26,26
216,54,210,26,26
217,80,210,26,26
218,106,210,26,26
219,132,210,26,26
220,158,210,26,26
221,184,210,26,26
222,210,210,26,26
223,28,184,26,26
224,54,184,26,26
225,106,184,26,26
226,132,184,26,26
227,158,184,26,26
228,184,184,26,26
229,210,184,26,26
230,28,158,26,26
231,158,158,26,26
232,184,158,26,26
233,2,132,26,26
234,28,132,26,26
235,54,132,26,26
236,2,106,26,26
237,28,106,26,26
238,54,106,26,26
239,80,106,26,26
240,106,106,26,26
241,132,106,26,26
242,158,106,26,26
243,54,80,26,26
244,80,80,26,26
245,106,80,26,26
246,132,80,26,26
247,158,80,26,26
248,184,80,26,26
249,184,54,26,26
250,210,54,26,26
251,184,28,26,26
252,210,28,26,26
253,210,2,26,26
254,236,2,26,26
